type,timestamp,positions,velocities,torques
STATE_MOTOR,200781.98000555858,"[-0.1418932228794218, -0.019941750242513333, 0.6327670750028269, 0.14419419406125028, 0.04371845245474077, 0.4399736147757256]","[0.0, 0.15339807878856412, 0.0, 0.0, 0.0, -0.30679615757712825]","[0.136884, 0.045628, 1.186328, 0.479094, 0.11407, 0.501908]"
STATE_MOTOR,220854.084007442,"[-0.14035924209153616, -0.01687378866674205, 0.6327670750028269, 0.14419419406125028, 0.04065049087896949, 0.43733509234828494]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.0, -0.15339807878856412, -0.30679615757712825]","[0.159698, 0.045628, 0.981002, 0.319396, 0.136884, 0.250954]"
STATE_MOTOR,240931.14800052717,"[-0.1372912805157649, -0.015339807878856412, 0.6327670750028269, 0.14419419406125028, 0.037582529303198206, 0.4346965699208443]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.0, -0.15339807878856412, -0.30679615757712825]","[0.159698, 0.022814, 0.958188, 0.250954, 0.022814, 0.159698]"
STATE_MOTOR,261004.41202288494,"[-0.1342233189399936, -0.01227184630308513, 0.6327670750028269, 0.14419419406125028, 0.03451456772742693, 0.4320580474934037]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.0, -0.15339807878856412, -0.30679615757712825]","[0.205326, 0.022814, 0.958188, 0.707234, 0.045628, 0.433466]"
STATE_MOTOR,281078.6060290411,"[-0.12962137657633668, -0.007669903939428206, 0.6327670750028269, 0.14419419406125028, 0.03144660615165564, 0.42941952506596304]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.0, -0.15339807878856412, -0.30679615757712825]","[0.091256, 0.022814, 0.730048, 0.524722, 0.091256, 0.22814]"
STATE_MOTOR,301100.40004365146,"[-0.12655341500056538, -0.0046019423636569235, 0.6327670750028269, 0.14419419406125028, 0.028378644575884363, 0.4261213720316623]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.0, -0.15339807878856412, -0.30679615757712825]","[0.045628, 0.045628, 0.707234, 0.479094, 0.068442, 0.11407]"
STATE_MOTOR,321168.3740373701,"[-0.12348545342479411, 0.0, 0.6327670750028269, 0.14112623248547898, 0.02531068300011308, 0.4234828496042216]","[0.23009711818284617, 0.23009711818284617, 0.0, -0.07669903939428206, -0.15339807878856412, -0.30679615757712825]","[0.091256, 0.068442, 0.707234, 0.730048, 0.091256, 0.296582]"
STATE_MOTOR,341240.2180256322,"[-0.12041749184902283, 0.0015339807878856412, 0.6327670750028269, 0.13959225169759334, 0.022242721424341798, 0.420844327176781]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.07669903939428206, -0.15339807878856412, -0.38349519697141027]","[0.091256, 0.068442, 0.524722, 0.365024, 0.159698, 0.182512]"
STATE_MOTOR,361310.90199342,"[-0.11734953027325154, 0.0046019423636569235, 0.6327670750028269, 0.13652429012182207, 0.019174759848570515, 0.4175461741424802]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.11407, 0.068442, 0.547536, 0.091256, 0.068442, 0.159698]"
STATE_MOTOR,381380.17599703744,"[-0.11428156869748027, 0.006135923151542565, 0.6327670750028269, 0.13345632854605077, 0.016106798272799233, 0.41490765171503957]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.07669903939428206, -0.15339807878856412, -0.30679615757712825]","[0.11407, 0.068442, 0.501908, 0.593164, 0.273768, 0.479094]"
STATE_MOTOR,401451.7409959808,"[-0.11121360712170898, 0.007669903939428206, 0.6327670750028269, 0.1303883669702795, 0.013038836697027949, 0.41160949868073876]","[0.15339807878856412, 0.07669903939428206, 0.0, -0.23009711818284617, -0.15339807878856412, -0.38349519697141027]","[0.11407, 0.022814, 0.34221, 0.296582, 0.182512, 0.250954]"
