type,timestamp,positions,velocities,torques
STATE_MOTOR,441655.9779783711,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,461699.5800170116,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.190144, 0.0, 0.0, 0.0]"
STATE_MOTOR,481778.5909981467,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.1445160000000003, 0.0, 0.0, 0.0]"
STATE_MOTOR,501862.72303108126,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,521932.4339996092,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.068442, 2.121702, 0.0, 0.0, 0.022814]"
STATE_MOTOR,542013.0959828384,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,562087.4370215461,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.098888, 0.0, 0.022814, 0.0]"
STATE_MOTOR,582163.5390166193,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.098888, 0.0, 0.022814, 0.0]"
STATE_MOTOR,602241.1800222471,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.068442, 2.098888, 0.0, 0.022814, 0.0]"
STATE_MOTOR,622316.2619862705,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.098888, 0.0, 0.0, 0.022814]"
STATE_MOTOR,642390.4930124991,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,662464.2550013959,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.098888, 0.0, 0.0, 0.0]"
STATE_MOTOR,682537.9770016298,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,702613.398025278,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.076074, 0.0, 0.0, 0.0]"
STATE_MOTOR,722683.7400230579,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,742704.5709919184,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,762784.1529902071,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,782856.8940167315,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
