type,timestamp,positions
CONTROL,1344839.5170271397,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364918.5780086555,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384991.5490136482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1405065.7210173085,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1425146.282010246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1445221.9430240802,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1465293.0850279517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1485364.5759867504,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1505437.196989078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1525511.4790052176,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1545586.6500269622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1565657.9810311086,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1585722.3329949193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1605804.293998517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625884.4850235619,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645963.2859914564,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1666036.928014364,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1686111.1089820042,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1706184.8400044255,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1726251.6419868916,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1746323.9229982719,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1766395.9140190855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1786467.1560237184,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1806551.1570312083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1826623.9580116235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1846698.8099971786,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1866771.8209908344,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1886841.7820194736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1906916.112988256,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1926985.1550343446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1947049.2859836668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1967127.6370063424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1987204.0980262682,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2007278.5899974406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2027375.481033232,"[3.1e-05, 1.9e-05, 0.500019, -1.9e-05, 0.0, 0.500025]"
CONTROL,2047449.9730044045,"[0.000125, 7.5e-05, 0.500075, -7.5e-05, 0.0, 0.5001]"
CONTROL,2067531.2840030529,"[0.00028, 0.000168, 0.500168, -0.000168, 0.0, 0.500224]"
CONTROL,2087604.7349884175,"[0.000498, 0.000299, 0.500299, -0.000299, 0.0, 0.500399]"
CONTROL,2107684.657035861,"[0.000778, 0.000467, 0.500467, -0.000467, 0.0, 0.500623]"
CONTROL,2127765.927987639,"[0.001121, 0.000672, 0.500672, -0.000672, 0.0, 0.500897]"
CONTROL,2147846.659005154,"[0.001525, 0.000915, 0.500915, -0.000915, 0.0, 0.50122]"
CONTROL,2167918.4900131077,"[0.001991, 0.001195, 0.501195, -0.001195, 0.0, 0.501593]"
CONTROL,2187989.2220022157,"[0.002519, 0.001512, 0.501512, -0.001512, 0.0, 0.502015]"
CONTROL,2208057.623007335,"[0.003109, 0.001865, 0.501865, -0.001865, 0.0, 0.502487]"
CONTROL,2228125.2940301783,"[0.00376, 0.002256, 0.502256, -0.002256, 0.0, 0.503008]"
CONTROL,2248198.074987158,"[0.004473, 0.002684, 0.502684, -0.002684, 0.0, 0.503578]"
CONTROL,2268268.9770008437,"[0.005246, 0.003148, 0.503148, -0.003148, 0.0, 0.504197]"
CONTROL,2288340.8780326135,"[0.006081, 0.003649, 0.503649, -0.003649, 0.0, 0.504865]"
CONTROL,2308409.5190279186,"[0.006977, 0.004186, 0.504186, -0.004186, 0.0, 0.505581]"
CONTROL,2328476.200986188,"[0.007933, 0.00476, 0.50476, -0.00476, 0.0, 0.506346]"
CONTROL,2348548.681999091,"[0.008949, 0.00537, 0.50537, -0.00537, 0.0, 0.50716]"
CONTROL,2368620.663008187,"[0.010026, 0.006016, 0.506016, -0.006016, 0.0, 0.508021]"
CONTROL,2388689.6740295924,"[0.011162, 0.006697, 0.506697, -0.006697, 0.0, 0.50893]"
CONTROL,2408700.005034916,"[0.012358, 0.007415, 0.507415, -0.007415, 0.0, 0.509887]"
CONTROL,2428772.816027049,"[0.013613, 0.008168, 0.508168, -0.008168, 0.0, 0.510891]"
CONTROL,2448843.9569831826,"[0.014927, 0.008956, 0.508956, -0.008956, 0.0, 0.511942]"
CONTROL,2468913.357995916,"[0.0163, 0.00978, 0.50978, -0.00978, 0.0, 0.51304]"
CONTROL,2488986.369979102,"[0.017731, 0.010638, 0.510638, -0.010638, 0.0, 0.514185]"
CONTROL,2509057.681018021,"[0.019219, 0.011532, 0.511532, -0.011532, 0.0, 0.515375]"
CONTROL,2529128.4220293164,"[0.020766, 0.012459, 0.512459, -0.012459, 0.0, 0.516612]"
CONTROL,2549198.9530273713,"[0.022369, 0.013421, 0.513421, -0.013421, 0.0, 0.517895]"
