type,timestamp,positions
CONTROL,1344555.3010096774,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364630.7740127668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384703.74699682,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404783.75001112,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424857.3430231772,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444928.3060384914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464997.099013999,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1485064.3720128573,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1505135.515006259,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1525205.978017766,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1545275.8810133673,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1565367.7440132014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1585441.4670029655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1605518.8900209032,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625590.0530377403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645660.5850253254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665729.33801217,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685798.151011113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705866.103991866,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725940.767035354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1746010.3490157053,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1766043.8820021227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1786113.5150305927,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1806184.2680326663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1826255.580992438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1846327.0240463316,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1866396.336001344,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1886472.7290347219,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1906549.9720163643,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1926634.0250032954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1946705.167007167,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966774.3800091557,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986843.733000569,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006914.436002262,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2027007.438999135,"[-0.00011, 0.000354, 0.500102, 5.8e-05, -0.000252, 0.5]"
CONTROL,2047078.0220348388,"[-0.000441, 0.001415, 0.500408, 0.000231, -0.001008, 0.5]"
CONTROL,2067154.1840420105,"[-0.000992, 0.00318, 0.500917, 0.00052, -0.002266, 0.5]"
CONTROL,2087227.5570291094,"[-0.00176, 0.005643, 0.501627, 0.000923, -0.004021, 0.5]"
CONTROL,2107270.080014132,"[-0.002744, 0.008798, 0.502537, 0.001438, -0.006269, 0.5]"
CONTROL,2127341.093029827,"[-0.00394, 0.012635, 0.503643, 0.002066, -0.009003, 0.5]"
CONTROL,2147415.6560143456,"[-0.005346, 0.017143, 0.504943, 0.002803, -0.012215, 0.5]"
CONTROL,2167487.1490104124,"[-0.006957, 0.022309, 0.506433, 0.003647, -0.015896, 0.5]"
CONTROL,2187560.0710045546,"[-0.008769, 0.028117, 0.508107, 0.004597, -0.020035, 0.5]"
CONTROL,2207635.694008786,"[-0.010775, 0.034551, 0.509962, 0.005649, -0.024619, 0.5]"
CONTROL,2227705.9070183896,"[-0.012971, 0.041592, 0.511993, 0.0068, -0.029636, 0.5]"
CONTROL,2247781.309997663,"[-0.015349, 0.049218, 0.514192, 0.008047, -0.03507, 0.5]"
CONTROL,2267852.902004961,"[-0.017903, 0.057408, 0.516553, 0.009386, -0.040906, 0.5]"
CONTROL,2287927.725003101,"[-0.020626, 0.066138, 0.51907, 0.010813, -0.047126, 0.5]"
CONTROL,2307999.4580475613,"[-0.023509, 0.075382, 0.521736, 0.012324, -0.053713, 0.5]"
CONTROL,2328067.591006402,"[-0.026543, 0.085112, 0.524541, 0.013915, -0.060646, 0.5]"
CONTROL,2348143.904004246,"[-0.029721, 0.095301, 0.527479, 0.015581, -0.067906, 0.5]"
CONTROL,2368224.017031025,"[-0.033032, 0.105918, 0.530541, 0.017317, -0.075472, 0.5]"
CONTROL,2388305.699045304,"[-0.036467, 0.116933, 0.533717, 0.019118, -0.08332, 0.5]"
CONTROL,2408378.2020024955,"[-0.040016, 0.128313, 0.536998, 0.020978, -0.091429, 0.5]"
CONTROL,2428456.8650182337,"[-0.043668, 0.140024, 0.540375, 0.022893, -0.099774, 0.5]"
CONTROL,2448534.978029784,"[-0.047413, 0.152033, 0.543837, 0.024856, -0.10833, 0.5]"
CONTROL,2468603.7310166284,"[-0.05124, 0.164304, 0.547375, 0.026863, -0.117074, 0.5]"
CONTROL,2488673.6730113626,"[-0.055137, 0.1768, 0.550979, 0.028906, -0.125978, 0.5]"
CONTROL,2508746.0260256194,"[-0.059094, 0.189487, 0.554637, 0.03098, -0.135018, 0.5]"
CONTROL,2528817.1989959665,"[-0.063098, 0.202325, 0.558338, 0.033079, -0.144166, 0.5]"
CONTROL,2548890.6420068815,"[-0.067137, 0.215278, 0.562073, 0.035197, -0.153395, 0.5]"
CONTROL,2568964.075006079,"[-0.071201, 0.228307, 0.56583, 0.037327, -0.162679, 0.5]"
CONTROL,2589033.466996625,"[-0.075276, 0.241375, 0.569598, 0.039463, -0.171991, 0.5]"
CONTROL,2609107.6000011526,"[-0.079351, 0.254443, 0.573366, 0.0416, -0.181302, 0.5]"
CONTROL,2629181.3930147327,"[-0.083415, 0.267472, 0.577123, 0.04373, -0.190586, 0.5]"
CONTROL,2649251.996015664,"[-0.087454, 0.280425, 0.580858, 0.045848, -0.199816, 0.5]"
CONTROL,2669320.9480145015,"[-0.091458, 0.293263, 0.58456, 0.047947, -0.208964, 0.5]"
CONTROL,2689391.2910018116,"[-0.095414, 0.30595, 0.588218, 0.050021, -0.218003, 0.5]"
CONTROL,2709463.0740466528,"[-0.099312, 0.318446, 0.591821, 0.052064, -0.226908, 0.5]"
CONTROL,2729534.0960263275,"[-0.103138, 0.330717, 0.595359, 0.05407, -0.235651, 0.5]"
CONTROL,2749605.0790068693,"[-0.106883, 0.342726, 0.598822, 0.056034, -0.244208, 0.5]"
CONTROL,2769674.7520240024,"[-0.110536, 0.354437, 0.602199, 0.057948, -0.252553, 0.5]"
CONTROL,2789744.2140383646,"[-0.114085, 0.365817, 0.60548, 0.059809, -0.260661, 0.5]"
CONTROL,2809814.897016622,"[-0.11752, 0.376832, 0.608656, 0.06161, -0.26851, 0.5]"
CONTROL,2829886.2000228837,"[-0.120831, 0.387449, 0.611717, 0.063346, -0.276075, 0.5]"
CONTROL,2849955.793004483,"[-0.124009, 0.397638, 0.614655, 0.065011, -0.283335, 0.5]"
CONTROL,2870026.2749916874,"[-0.127043, 0.407368, 0.617461, 0.066602, -0.290269, 0.5]"
CONTROL,2890050.208021421,"[-0.129926, 0.416612, 0.620126, 0.068114, -0.296855, 0.5]"
CONTROL,2910127.0210230723,"[-0.132648, 0.425342, 0.622643, 0.069541, -0.303075, 0.5]"
CONTROL,2930195.1230154373,"[-0.135203, 0.433532, 0.625005, 0.07088, -0.308911, 0.5]"
CONTROL,2950270.3660400584,"[-0.137581, 0.441158, 0.627204, 0.072127, -0.314345, 0.5]"
CONTROL,2970347.869035322,"[-0.139777, 0.448199, 0.629234, 0.073278, -0.319362, 0.5]"
CONTROL,2990419.63100899,"[-0.141783, 0.454633, 0.631089, 0.07433, -0.323947, 0.5]"
CONTROL,3010491.4240073413,"[-0.143595, 0.460441, 0.632764, 0.075279, -0.328085, 0.5]"
CONTROL,3030584.677006118,"[-0.145206, 0.465607, 0.634253, 0.076124, -0.331766, 0.5]"
CONTROL,3050655.3589948453,"[-0.146611, 0.470115, 0.635553, 0.076861, -0.334978, 0.5]"
CONTROL,3070724.9420229346,"[-0.147808, 0.473952, 0.63666, 0.077488, -0.337712, 0.5]"
CONTROL,3090798.7750251777,"[-0.148792, 0.477107, 0.637569, 0.078004, -0.33996, 0.5]"
CONTROL,3110876.146994997,"[-0.14956, 0.47957, 0.63828, 0.078407, -0.341716, 0.5]"
CONTROL,3130945.190030616,"[-0.150111, 0.481335, 0.638788, 0.078695, -0.342973, 0.5]"
CONTROL,3151014.313043561,"[-0.150441, 0.482396, 0.639094, 0.078869, -0.343729, 0.5]"
CONTROL,3171045.066032093,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3191114.6480124444,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3211186.6210470907,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3231260.974018369,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3251332.796004135,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
