type,timestamp,positions,velocities,torques
STATE_MOTOR,441538.7880289927,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,461606.2210407108,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,481675.90401135385,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,501744.61700953543,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,521812.5400133431,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,541880.692995619,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.870748, 0.0, 0.022814, 0.0]"
STATE_MOTOR,561950.2260233276,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,582019.500026945,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.022814, 0.0]"
STATE_MOTOR,602046.6720219702,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,622115.0660421699,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,642182.0080140606,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,662249.0820009261,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,682318.9950082451,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,702385.6270243414,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.022814, 0.0]"
STATE_MOTOR,722457.6900480315,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,742526.9930390641,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.068442, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,762594.1560254432,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,782661.6890379228,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,802730.2820119075,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,822801.0649909265,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,842871.8179930001,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.022814, 0.0]"
STATE_MOTOR,862941.8510245159,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
