type,timestamp,positions
CONTROL,1344811.8370142765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364882.1139940992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384950.5609832704,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404968.3579942212,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1425038.6150088161,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1445111.3530085422,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1465181.3000091352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1485247.2869679332,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1505314.9840096012,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1525383.8910139166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1545458.8679713197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1565530.3350067697,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1585599.7820035554,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1605675.3089651465,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625747.5559832528,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645818.3230133727,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665890.029980801,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685961.506969761,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1706032.753980253,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1726101.9209981896,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1746172.1479776315,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1766251.0249647312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1786331.1920082197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1806401.3689872809,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1826470.8659844473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1846536.7030003108,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1866602.4300036952,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1886670.4370011576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1906742.0740029775,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1926810.9310069121,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
