type,timestamp,positions,velocities,torques
STATE_MOTOR,441612.8430166282,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,461685.0099992007,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,481755.37696806714,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,501823.5839670524,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,521898.0619683862,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.0]"
STATE_MOTOR,541971.619008109,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,562048.0760117061,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,582118.3529915288,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.0]"
STATE_MOTOR,602189.3100114539,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,622260.637988802,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.0]"
STATE_MOTOR,642333.4249993786,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,662406.6620133817,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,682479.8189918511,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.068442, 1.779492, 0.0, 0.0, 0.0]"
