type,timestamp,positions,velocities,torques
STATE_MOTOR,200817.13801482692,"[0.019174759848570515, 0.05062136600022616, 0.5790777474268295, 0.02454369260617026, 0.017640779060684873, 0.5112137203166227]","[0.30679615757712825, 0.07669903939428206, 0.0, 0.0, -0.07669903939428206, -0.30679615757712825]","[0.11407, 0.182512, 2.007632, 0.250954, 0.638792, 0.524722]"
STATE_MOTOR,220888.56698246673,"[0.022242721424341798, 0.05062136600022616, 0.5790777474268295, 0.02454369260617026, 0.013038836697027949, 0.5059366754617414]","[0.30679615757712825, 0.0, 0.0, 0.0, -0.15339807878856412, -0.6135923151542565]","[0.136884, 0.501908, 1.756678, 0.22814, 0.319396, 0.296582]"
STATE_MOTOR,240965.48499073833,"[0.023776702212227437, 0.05062136600022616, 0.5790777474268295, 0.023009711818284616, 0.008436894333371026, 0.49934036939313986]","[0.15339807878856412, 0.0, 0.0, 0.0, -0.23009711818284617, -0.6135923151542565]","[0.045628, 0.501908, 1.733864, 0.479094, 0.205326, 0.730048]"
STATE_MOTOR,261040.0440171361,"[0.023776702212227437, 0.05062136600022616, 0.5760097858510582, 0.019941750242513333, 0.0023009711818284618, 0.4920844327176781]","[0.0, 0.0, -0.07669903939428206, -0.07669903939428206, -0.30679615757712825, -0.7669903939428205]","[0.022814, 0.547536, 1.8935620000000002, 0.387838, 0.79849, 0.433466]"
STATE_MOTOR,281113.6730015278,"[0.022242721424341798, 0.05062136600022616, 0.572941824275287, 0.01687378866674205, -0.005368932757599744, 0.4868073878627968]","[0.0, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825, -0.7669903939428205]","[0.182512, 0.91256, 1.300398, 0.296582, 0.410652, 0.22814]"
STATE_MOTOR,301183.12197737396,"[0.019174759848570515, 0.05062136600022616, 0.5698738626995157, 0.01227184630308513, -0.011504855909142308, 0.48482849604221634]","[-0.15339807878856412, 0.0, -0.15339807878856412, -0.23009711818284617, -0.30679615757712825, -0.5368932757599744]","[0.068442, 0.981002, 1.574166, 0.638792, 0.136884, 0.34221]"
STATE_MOTOR,321263.2699869573,"[0.016106798272799233, 0.05062136600022616, 0.5668059011237444, 0.006135923151542565, -0.01457281748491359, 0.48482849604221634]","[-0.15339807878856412, 0.0, -0.15339807878856412, -0.23009711818284617, -0.23009711818284617, -0.15339807878856412]","[0.091256, 1.049444, 2.2814, 0.501908, 0.661606, 0.182512]"
STATE_MOTOR,341342.63900341466,"[0.01457281748491359, 0.05062136600022616, 0.5637379395479731, 0.0015339807878856412, -0.01457281748491359, 0.48482849604221634]","[-0.15339807878856412, 0.0, -0.07669903939428206, -0.23009711818284617, -0.15339807878856412, 0.0]","[0.22814, 1.59698, 2.235772, 0.45628, 0.34221, 0.11407]"
STATE_MOTOR,361414.06797105446,"[0.013038836697027949, 0.05062136600022616, 0.5591359971843162, 0.0, -0.01457281748491359, 0.48812664907651715]","[-0.07669903939428206, 0.0, -0.23009711818284617, -0.23009711818284617, 0.0, 0.07669903939428206]","[0.11407, 1.59698, 2.372656, 0.22814, 0.091256, 0.730048]"
STATE_MOTOR,381485.3369840421,"[0.013038836697027949, 0.05062136600022616, 0.5545340548206593, 0.0, -0.01457281748491359, 0.4920844327176781]","[0.0, 0.0, -0.23009711818284617, -0.07669903939428206, 0.0, 0.38349519697141027]","[0.11407, 2.463912, 1.7110500000000002, 0.159698, 0.34221, 0.730048]"
